,CourseFull,mean,std
93,MBA 501: Managerial Economics,3.543569023569023,0.4426588506178994
94,TE 566: Finance for Engineering Mgmt,3.8468750000000003,0.435866743062984
95,MUS 242: Elements of Conducting,3.257757352941177,1.0973462842662716
96,ENGL 300: Shakespeare & Problem of Pity,3.0700000000000003,1.1906720791217034
97,MUS 201: Music Theory and Practice III,3.280909090909091,0.7317718788287975
98,ENGL 455: The Coen Brothers,3.6146875,0.32491329973355965
99,PSYC 210: The Brain and the Mind,2.6859692307692304,1.0011136665794893
100,"KIN 262/HDFS 262: Motor Develop, Growth & Form",3.2062079207920795,0.7606963825810628
101,CMN 496: CultureIndustry & Econ Crisis,3.2140000000000004,0.8978908619648605
102,VM 611: Medicine and Surgery III,2.767487684729064,0.6517328879514188
103,MCB 104: Intro to Human Physiology Lab,3.539230769230769,0.44434414137730155
104,BADM 583: Current Topics in Intl Bus,3.8084848484848486,0.24705687251173578
105,RLST 208: Cultures & Lits of South Asia,3.874731182795699,0.559234483295874
106,MSE 487: Materials for Nanotechnology,3.536020942408377,0.6708023480410096
107,AGED 499: Begin Agri Teachers Seminar,3.7800806451612905,0.4054597071738686
108,LAW 622: Land Use Planning,3.294263565891473,0.4576782919312581
109,ENGL 373/MACS 373: Xenophobia in Film,3.2804,0.6575742087399719
110,CEE 398: Engr in Global Environment,3.5938235294117646,0.46805928926781937
111,ECON 490: Cost-Benefit Analysis,3.1927118644067796,0.6437333654483347
112,IS 590: Public Librarianship,3.9068,0.4565848880547844
113,BADM 590: Global Perspectives in Busines,3.8347154471544718,0.4107168533963812
114,KIN 452: Clin & Applied Ex Physiology,3.610161290322581,0.6145323213513116
115,ENGL 455: William Faulkner,3.5534615384615384,0.8006484982509361
116,CPSC 541/ANSC 541: Regression Analysis,3.5210697674418605,0.6778229649965322
117,LER 590: Global Labor Law,3.9304166666666664,0.23564590608698371
118,NRES 593: Statistical Methods in Ecology,3.604883720930233,0.40214177815167607
119,FIN 411: Investment & Portfolio Mngt,3.385347368421053,0.6840549649879414
120,MDIA 270: Introduction to Media Sales,3.743796791443851,0.5617714736908654
121,ECON 529: Macroeconomics for Business,3.702528452783759,0.6879107712462359
122,BADM 529: Marketing Research,3.7485365853658537,0.2928627496369684
123,MCB 493: Virology,3.57921052631579,0.49377909816428395
124,CLCV 220/CWL 220: Ancient Sports,3.130869565217391,0.8208527540651446
125,VCM 655: Special Large Animal Surgery,2.789473684210526,0.7586578354540229
126,FIN 418: Financial Modeling,3.68751677852349,0.5451998045668113
127,ECON 502: Economic Statistics,3.3651111111111116,0.45240335672730203
128,CS 544: Optimiz in Computer Vision,3.956774193548387,0.16459896712673605
129,MATH 347: Fundamental Mathematics,3.0792933104631217,0.943102930200906
130,SHS 473: Augmentative & Alt Comm,3.7429148629148616,0.43832606939631946
131,ENG 460: Entrepreneurship for Engineers,3.7657765667574936,0.6904607979931406
132,HIST 222: Chinese Thght Confucius to Mao,2.769690721649485,0.9347434221066464
133,CEE 598: Highway Bridges Design,3.7089062500000005,0.5609008301036267
134,LAW 793: Negotiation Theory,3.462037037037037,0.25359182447995576
135,ANSC 103: Working With Farm Animals,3.9685204081632657,0.24773021573394818
136,SOC 485: Intermediate Social Statistics,3.1348795180722893,0.9816004499364446
137,RST 370: Research Methods & Analysis,3.3265261228230982,0.800577434826021
138,CS 447: Natural Language Processing,3.5545244956772337,0.6780672578530069
139,RST 216: Leisure and Technology,3.636330275229358,0.5490252589407614
140,PHIL 426: Metaphysics,3.2969724770642204,0.9279705632265309
141,MUSE 250/ANTH 250: The World Through Museums,3.5129540481400436,0.866550686330771
142,CS 410: Text Information Systems,3.847571868583162,0.40458423847929603
143,MUS 250: Illini Strings,3.983240223463687,0.12837011500643639
144,BADM 446: Entrep: New Venture Creation,3.6747777777777775,0.6991967260566907
145,CHBE 473: Biomolecular Engineering,2.9205531914893608,0.970012564264113
146,MSE 580: Diffraction Physics of Matls,3.5903846153846155,0.3737078329105482
147,IS 525: Government Information,3.8905494505494507,0.23181255518512442
148,ADV 582: Qualitative Rsrch in Advert,3.8227906976744186,0.26206537069616415
149,ECE 440: Solid State Electronic Devices,2.7664365671641784,1.0388041110098198
150,FSHN 131: Introductory Food Laboratory,3.453520518358531,0.7629995959948368
151,"ENGL 273/MACS 273: American Cinema, 1950-2000",3.3778260869565218,0.8478205128021888
152,REHB 402: Medical Aspects of Disability,3.4095294117647064,0.7145547455787176
153,ACCY 504: Auditing,3.5740632603406333,0.44871063643731657
154,MCB 450: Introductory Biochemistry,2.7422715242098707,0.9948960953074482
155,VCM 667: Radiology and Radiobiology,3.083682008368201,0.7824603398257004
156,ATMS 304: Radiative Transfer-Remote Sens,3.0653906250000005,0.86818857969459
157,CMN 250: Social Movement Communication,3.353081395348837,0.9320802779469095
158,CS 463/ECE 424: Computer Security II,3.3603883495145634,0.7653840827770547
159,ADV 290: Sports PR,3.831600000000001,0.5144136856655351
160,CS 465: User Interface Design,3.2047588894301025,0.6832711946233219
161,AVI 384: Jet Aircraft System and Ops I,3.105909090909091,0.7746592159307513
162,LAW 303: Living the Law,3.757714285714286,0.45046696859583213
163,SOCW 461: Prof Practice Seminar I,3.8573244147157197,0.38034335628236715
